barcode,path,nac_path,mat_path,amb_path,time,sex,tissue,viallabel,pid,calculated.variables.pct_body_fat_change,calculated.variables.pct_body_lean_change,calculated.variables.pct_body_fluid_change,calculated.variables.lactate_change_dueto_train,calculated.variables.vo2_max_change,calculated.variables.coll_time_train,calculated.variables.deathtime_after_train,calculated.variables.frozetime_after_train
SRR25251641,/tolva/rat_attack/rat/count_matrices_SRR25251641/quants_unfiltered_boot/abundance_1/abundance.h5,/tolva/rat_attack/rat/count_matrices_SRR25251641/quants_unfiltered_nascent/abundance_1/abundance.h5,/tolva/rat_attack/rat/count_matrices_SRR25251641/quants_unfiltered_mature/abundance_1/abundance.h5,/tolva/rat_attack/rat/count_matrices_SRR25251641/quants_unfiltered_ambiguous/abundance_1/abundance.h5,4,female,spleen,90410016202,40,-0.8,2.0,-0.1,12.8,1.92,183554,183465,183618
SRR25251642,/tolva/rat_attack/rat/count_matrices_SRR25251642/quants_unfiltered_boot/abundance_1/abundance.h5,/tolva/rat_attack/rat/count_matrices_SRR25251642/quants_unfiltered_nascent/abundance_1/abundance.h5,/tolva/rat_attack/rat/count_matrices_SRR25251642/quants_unfiltered_mature/abundance_1/abundance.h5,/tolva/rat_attack/rat/count_matrices_SRR25251642/quants_unfiltered_ambiguous/abundance_1/abundance.h5,4,female,spleen,90406016202,48,-0.7,2.5,0.3,6.5,3.88,178998,178922,179046
SRR25251643,/tolva/rat_attack/rat/count_matrices_SRR25251643/quants_unfiltered_boot/abundance_1/abundance.h5,/tolva/rat_attack/rat/count_matrices_SRR25251643/quants_unfiltered_nascent/abundance_1/abundance.h5,/tolva/rat_attack/rat/count_matrices_SRR25251643/quants_unfiltered_mature/abundance_1/abundance.h5,/tolva/rat_attack/rat/count_matrices_SRR25251643/quants_unfiltered_ambiguous/abundance_1/abundance.h5,4,male,spleen,90292016202,28,-1.7,2.9,-0.1,9.7,1.99,183407,183292,183434
SRR25251644,/tolva/rat_attack/rat/count_matrices_SRR25251644/quants_unfiltered_boot/abundance_1/abundance.h5,/tolva/rat_attack/rat/count_matrices_SRR25251644/quants_unfiltered_nascent/abundance_1/abundance.h5,/tolva/rat_attack/rat/count_matrices_SRR25251644/quants_unfiltered_mature/abundance_1/abundance.h5,/tolva/rat_attack/rat/count_matrices_SRR25251644/quants_unfiltered_ambiguous/abundance_1/abundance.h5,4,male,spleen,90289016202,1,3.2,-1.4,0.5,8.8,0.61,179653,179551,179693
SRR25251645,/tolva/rat_attack/rat/count_matrices_SRR25251645/quants_unfiltered_boot/abundance_1/abundance.h5,/tolva/rat_attack/rat/count_matrices_SRR25251645/quants_unfiltered_nascent/abundance_1/abundance.h5,/tolva/rat_attack/rat/count_matrices_SRR25251645/quants_unfiltered_mature/abundance_1/abundance.h5,/tolva/rat_attack/rat/count_matrices_SRR25251645/quants_unfiltered_ambiguous/abundance_1/abundance.h5,4,female,colon,90412016102,39,-0.4,0.3,0.2,9.4,7.51,180264,180047,180309
SRR25251646,/tolva/rat_attack/rat/count_matrices_SRR25251646/quants_unfiltered_boot/abundance_1/abundance.h5,/tolva/rat_attack/rat/count_matrices_SRR25251646/quants_unfiltered_nascent/abundance_1/abundance.h5,/tolva/rat_attack/rat/count_matrices_SRR25251646/quants_unfiltered_mature/abundance_1/abundance.h5,/tolva/rat_attack/rat/count_matrices_SRR25251646/quants_unfiltered_ambiguous/abundance_1/abundance.h5,2,female,colon,90585016102,25,,,,,,183169,182963,183190
SRR25251647,/tolva/rat_attack/rat/count_matrices_SRR25251647/quants_unfiltered_boot/abundance_1/abundance.h5,/tolva/rat_attack/rat/count_matrices_SRR25251647/quants_unfiltered_nascent/abundance_1/abundance.h5,/tolva/rat_attack/rat/count_matrices_SRR25251647/quants_unfiltered_mature/abundance_1/abundance.h5,/tolva/rat_attack/rat/count_matrices_SRR25251647/quants_unfiltered_ambiguous/abundance_1/abundance.h5,2,female,colon,90581016102,26,,,,,,179650,179406,179668
SRR25251648,/tolva/rat_attack/rat/count_matrices_SRR25251648/quants_unfiltered_boot/abundance_1/abundance.h5,/tolva/rat_attack/rat/count_matrices_SRR25251648/quants_unfiltered_nascent/abundance_1/abundance.h5,/tolva/rat_attack/rat/count_matrices_SRR25251648/quants_unfiltered_mature/abundance_1/abundance.h5,/tolva/rat_attack/rat/count_matrices_SRR25251648/quants_unfiltered_ambiguous/abundance_1/abundance.h5,0,female,blood,90265013001,6,1.8,-2.8,-0.4,12.7,-15.46,179824,180112,187292
SRR25251649,/tolva/rat_attack/rat/count_matrices_SRR25251649/quants_unfiltered_boot/abundance_1/abundance.h5,/tolva/rat_attack/rat/count_matrices_SRR25251649/quants_unfiltered_nascent/abundance_1/abundance.h5,/tolva/rat_attack/rat/count_matrices_SRR25251649/quants_unfiltered_mature/abundance_1/abundance.h5,/tolva/rat_attack/rat/count_matrices_SRR25251649/quants_unfiltered_ambiguous/abundance_1/abundance.h5,2,female,colon,90578016102,27,,,,,,184088,183872,184108
SRR25251650,/tolva/rat_attack/rat/count_matrices_SRR25251650/quants_unfiltered_boot/abundance_1/abundance.h5,/tolva/rat_attack/rat/count_matrices_SRR25251650/quants_unfiltered_nascent/abundance_1/abundance.h5,/tolva/rat_attack/rat/count_matrices_SRR25251650/quants_unfiltered_mature/abundance_1/abundance.h5,/tolva/rat_attack/rat/count_matrices_SRR25251650/quants_unfiltered_ambiguous/abundance_1/abundance.h5,2,female,colon,90576016102,32,,,,,,181631,181453,181653
SRR25251651,/tolva/rat_attack/rat/count_matrices_SRR25251651/quants_unfiltered_boot/abundance_1/abundance.h5,/tolva/rat_attack/rat/count_matrices_SRR25251651/quants_unfiltered_nascent/abundance_1/abundance.h5,/tolva/rat_attack/rat/count_matrices_SRR25251651/quants_unfiltered_mature/abundance_1/abundance.h5,/tolva/rat_attack/rat/count_matrices_SRR25251651/quants_unfiltered_ambiguous/abundance_1/abundance.h5,1,female,colon,90571016102,0,,,,,,182907,182672,182927
